model,augment,class,angle,loss,score
randomRotation,rotation,all,0,1.3297760368157656,0.5531850961538461
randomRotation,rotation,all,10,1.8756876702492054,0.3808092948717949
randomRotation,rotation,all,20,2.4142521573947024,0.2605168269230769
randomRotation,rotation,all,30,2.5846101213724184,0.2377804487179487
randomRotation,rotation,all,40,2.8549254567195206,0.21374198717948717
randomRotation,rotation,all,50,2.9796478916437197,0.19451121794871795
randomRotation,rotation,all,60,2.870230515797933,0.20442708333333334
randomRotation,rotation,all,70,2.8081536506995177,0.20763221153846154
randomRotation,rotation,all,80,2.3726760821464734,0.26542467948717946
randomRotation,rotation,all,90,2.0654976131060185,0.35076121794871795
randomRotation,rotation,plane,0,1.1114465117454528,0.6208333333333333
randomRotation,rotation,plane,10,1.398568860689799,0.5552083333333333
randomRotation,rotation,plane,20,2.5332783540089925,0.31875
randomRotation,rotation,plane,30,2.288406984011332,0.33541666666666664
randomRotation,rotation,plane,40,2.217482153574626,0.325
randomRotation,rotation,plane,50,2.3863637765248615,0.275
randomRotation,rotation,plane,60,2.784918228785197,0.2635416666666667
randomRotation,rotation,plane,70,3.111275323232015,0.19583333333333333
randomRotation,rotation,plane,80,2.427403211593628,0.334375
randomRotation,rotation,plane,90,1.878740167617798,0.42916666666666664
randomRotation,rotation,car,0,4.684289900461833,0.03229166666666667
randomRotation,rotation,car,10,3.991159423192342,0.07708333333333334
randomRotation,rotation,car,20,4.8473559061686196,0.04375
randomRotation,rotation,car,30,4.352566274007161,0.057291666666666664
randomRotation,rotation,car,40,4.035703007380167,0.078125
randomRotation,rotation,car,50,4.10841121673584,0.053125
randomRotation,rotation,car,60,4.4913386027018225,0.042708333333333334
randomRotation,rotation,car,70,5.054715665181478,0.026041666666666668
randomRotation,rotation,car,80,5.0430632591247555,0.019791666666666666
randomRotation,rotation,car,90,4.803089809417725,0.03229166666666667
randomRotation,rotation,bird,0,4.123354943593343,0.11041666666666666
randomRotation,rotation,bird,10,3.3475987116495767,0.19895833333333332
randomRotation,rotation,bird,20,3.9283558050791423,0.12083333333333333
randomRotation,rotation,bird,30,3.8988728523254395,0.103125
randomRotation,rotation,bird,40,4.011234633127848,0.090625
randomRotation,rotation,bird,50,4.127222267786662,0.07395833333333333
randomRotation,rotation,bird,60,4.1414413134257,0.08229166666666667
randomRotation,rotation,bird,70,4.282658926645914,0.078125
randomRotation,rotation,bird,80,4.133182525634766,0.12395833333333334
randomRotation,rotation,bird,90,3.899748945236206,0.115625
randomRotation,rotation,cat,0,5.304927158355713,0.028125
randomRotation,rotation,cat,10,4.522795995076497,0.06145833333333333
randomRotation,rotation,cat,20,4.553857390085856,0.05
randomRotation,rotation,cat,30,4.424402983983358,0.051041666666666666
randomRotation,rotation,cat,40,4.275917816162109,0.05625
randomRotation,rotation,cat,50,4.31087007522583,0.053125
randomRotation,rotation,cat,60,4.671828111012776,0.041666666666666664
randomRotation,rotation,cat,70,4.815787601470947,0.034375
randomRotation,rotation,cat,80,5.086491616566976,0.027083333333333334
randomRotation,rotation,cat,90,4.837291240692139,0.034375
randomRotation,rotation,deer,0,4.966676680246989,0.041666666666666664
randomRotation,rotation,deer,10,4.634681828816732,0.051041666666666666
randomRotation,rotation,deer,20,4.698951848347982,0.04479166666666667
randomRotation,rotation,deer,30,4.547594865163167,0.04375
randomRotation,rotation,deer,40,4.420696640014649,0.041666666666666664
randomRotation,rotation,deer,50,4.481243419647217,0.034375
randomRotation,rotation,deer,60,4.698940245310466,0.03125
randomRotation,rotation,deer,70,4.843742847442627,0.026041666666666668
randomRotation,rotation,deer,80,5.29905138015747,0.027083333333333334
randomRotation,rotation,deer,90,4.806957785288493,0.0375
randomRotation,rotation,dog,0,5.921688969930013,0.014583333333333334
randomRotation,rotation,dog,10,4.954392910003662,0.034375
randomRotation,rotation,dog,20,4.832785574595134,0.052083333333333336
randomRotation,rotation,dog,30,4.49186193148295,0.051041666666666666
randomRotation,rotation,dog,40,4.353021081288656,0.04479166666666667
randomRotation,rotation,dog,50,4.35670363108317,0.04791666666666667
randomRotation,rotation,dog,60,4.675400193532308,0.04791666666666667
randomRotation,rotation,dog,70,4.923772017161052,0.03229166666666667
randomRotation,rotation,dog,80,5.419735685984294,0.023958333333333335
randomRotation,rotation,dog,90,5.13843936920166,0.040625
randomRotation,rotation,frog,0,6.1095248858133955,0.007291666666666667
randomRotation,rotation,frog,10,5.469244734446208,0.025
randomRotation,rotation,frog,20,5.780045986175537,0.027083333333333334
randomRotation,rotation,frog,30,5.527978897094727,0.017708333333333333
randomRotation,rotation,frog,40,5.3413361549377445,0.014583333333333334
randomRotation,rotation,frog,50,5.39988644917806,0.013541666666666667
randomRotation,rotation,frog,60,5.659023030598958,0.009375
randomRotation,rotation,frog,70,5.86768897374471,0.014583333333333334
randomRotation,rotation,frog,80,6.343303871154785,0.0125
randomRotation,rotation,frog,90,6.1173545837402346,0.01875
randomRotation,rotation,horse,0,4.909990310668945,0.0375
randomRotation,rotation,horse,10,4.388783137003581,0.052083333333333336
randomRotation,rotation,horse,20,4.619742647806803,0.0625
randomRotation,rotation,horse,30,4.282083686192831,0.059375
randomRotation,rotation,horse,40,4.174682823816935,0.05520833333333333
randomRotation,rotation,horse,50,4.357265027364095,0.03854166666666667
randomRotation,rotation,horse,60,4.870262591044108,0.028125
randomRotation,rotation,horse,70,5.146640237172445,0.020833333333333332
randomRotation,rotation,horse,80,4.893931992848715,0.036458333333333336
randomRotation,rotation,horse,90,4.213239479064941,0.084375
randomRotation,rotation,ship,0,2.5102797826131185,0.159375
randomRotation,rotation,ship,10,1.9490457455317178,0.36875
randomRotation,rotation,ship,20,3.0621915658315024,0.20208333333333334
randomRotation,rotation,ship,30,2.8640036900838215,0.19270833333333334
randomRotation,rotation,ship,40,2.688840977350871,0.22916666666666666
randomRotation,rotation,ship,50,2.849432182312012,0.16354166666666667
randomRotation,rotation,ship,60,3.1804614861806235,0.15729166666666666
randomRotation,rotation,ship,70,3.6056636651357015,0.12083333333333333
randomRotation,rotation,ship,80,3.226768636703491,0.15416666666666667
randomRotation,rotation,ship,90,2.8766185601552325,0.16041666666666668
randomRotation,rotation,truck,0,4.3452627499898275,0.057291666666666664
randomRotation,rotation,truck,10,3.784998718897502,0.11666666666666667
randomRotation,rotation,truck,20,4.646799453099569,0.06875
randomRotation,rotation,truck,30,3.841954819361369,0.10729166666666666
randomRotation,rotation,truck,40,3.517161258061727,0.12604166666666666
randomRotation,rotation,truck,50,3.708456532160441,0.09583333333333334
randomRotation,rotation,truck,60,4.418521912892659,0.05
randomRotation,rotation,truck,70,4.809390004475912,0.03229166666666667
randomRotation,rotation,truck,80,4.633710988362631,0.03125
randomRotation,rotation,truck,90,4.362500095367432,0.04479166666666667
